Identificacao;Data_remocao;Situacao;Descricao;Cidade;Distrito;Regiao;Fonte;Mapeamento_anterior;Justificativa;Observacao;Tipologia;Propriedade;Proprietario;Familias_ameacadas;Familias_removidas;Movimento;Zoneamento;Inicio_ocupacao;Endereco;Latitude;Longitude;Links;;;;;;;;;;;;;
JARDIM APURA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;PEDREIRA;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;3;;;ZEIS-1 | ZPDS;1983;Rua Adauto Mendes;-23.7107568349911;-46.6586145325542;;;;;;;;;;;;;;
JARDIM ARNALDO;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;217;;;ZEIS-1 | ZMa;1952;R Huelva;-23.6885790034438;-46.7447349724011;;;;;;;;;;;;;;
JARDIM BANDEIRANTE;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;;;13;;;ZEIS-1;1974;Rua Dapoli;-23.6799704823698;-46.7394478061067;;;;;;;;;;;;;;
JARDIM CAICARA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;JARDIM ANGELA;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;72;;;ZEIS-1;1980;Rua Campos Borges;-23.6863230740377;-46.7767976542746;;;;;;;;;;;;;;
JARDIM CAMBARA II;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;RAPOSO TAVARES;OESTE;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PUBLICA;;60;;;ZEIS-1;1962;Rua Erico Verissimo, Butanta, Sao Paulo, SP, Brasil;-23.5872059;-46.78058149999999;;;;;;;;;;;;;;
JARDIM CAMPANARIO;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;CIDADE ADEMAR;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;43;;;ZEIS-1;1973;Rua Georges Bernanos;-23.6820012962405;-46.661293573969;;;;;;;;;;;;;;
JARDIM CAMPO DE FORA / SANTO ANTONIO;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;CAPAO REDONDO;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;;;237;;;ZEIS-1 | ZM;1972;Rua Maria Amelia Gouveia Andre / Avenida Agostinho Rubin;-23.6582619530263;-46.7569011173153;;;;;;;;;;;;;;
JARDIM CAMPO DE FORA II;;AMEACA DE REMOCAO;Terreno ocupado por comunidade desde 1972 corre ameaca de remocao de suas 236 familias. A ocupacao se localiza em perimetro do projeto Renova SP.;SAO PAULO;CAPAO REDONDO;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;236;;;;;;-23.6608776508623;-46.75878943173825;;;;;;;;;;;;;;
JARDIM CAMPO DE FORA/SANTO ANTONIO;;AMEACA DE REMOCAO;Terreno ocupado por comunidade desde 1960 corre ameaca de remocao de suas 1055 familias. A ocupacao se localiza em perimetro do projeto Renova SP.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;1055;;;;;Av. Maria Cursi, 128 - Cidade Sao Mateus, Sao Paulo - SP, Brazil;-23.65815253988142;-46.75662451349183;;;;;;;;;;;;;;
JARDIM CAMPOS I;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;VILA CURUCA;LESTE 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;84;;;ZEIS-1 | ZM | ZEUP;1976;Rua Jurupiranga / Avenida Ipe Roxo;-23.507854196998;-46.4052844879004;;;;;;;;;;;;;;
JARDIM CAMPOS II;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;VILA CURUCA;LESTE 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;38;;;ZEIS-1 | ZEUP | ZM;1973;Estrada Dom Joao Nery / Rua Areias;-23.5125825818148;-46.4014718156275;;;;;;;;;;;;;;
JARDIM CAPELA / SANTA BARBARA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;JARDIM ANGELA;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;148;;;ZEIS-1 | ZMa;1972;Rua Citeron;-23.7287997832362;-46.7891132254251;;;;;;;;;;;;;;
JARDIM CAPELINHA/NUNO ROLAND;;AMEACA DE REMOCAO;Terreno ocupado por comunidade desde 1960 corre ameaca de remocao de suas 156 familias. A ocupacao se localiza em perimetro do projeto Renova SP.;SAO PAULO;CAPAO REDONDO;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;156;;;;;R. Palacio Guanabara, 352-46 - Vila Santo Antonio, Sao Paulo - SP, 2987-9, Brazil;-23.65260766535842;-46.75451401216429;;;;;;;;;;;;;;
JARDIM CELESTE;;AMEACA DE REMOCAO;Terreno ocupado por comunidade desde 1970 corre ameaca de remocao de suas 500 familias. A ocupacao se localiza em perimetro do projeto Renova SP.;SAO PAULO;SACOMA;SUL 1;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;500;;;;;R. Ferreira Viana, 957 - Vila Socorro, Sao Paulo - SP, 4761-1, Brazil;-23.654132902881393;-46.60774690422977;;;;;;;;;;;;;;
JARDIM CELESTE - CEI;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;SACOMA;SUL 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;;30;;;ZEIS-1;2016;Rua Memorial de Aires, 62, Ipiranga, Sao Paulo, SP, Brasil;-23.6537147;-46.60709490000001;;;;;;;;;;;;;;
JARDIM CELESTE - E.L. 13M;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;SACOMA;SUL 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;;60;;;ZEIS-1;2017;Rua Memorial de Aires, Ipiranga, Sao Paulo, SP, Brasil;-23.6523608;-46.60959929999999;;;;;;;;;;;;;;
JARDIM COMERCIAL I;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;CAPAO REDONDO;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;;;192;;;ZEIS-1 | ZM;1972;Professor Agostinho Alvim;-23.6741011064973;-46.7830570143454;;;;;;;;;;;;;;
JARDIM COMERCIAL V;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;CAPAO REDONDO;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;43;;;ZEIS-1;1972;Rua Henrique Sam Midlin;-23.6768834862449;-46.7838528317887;;;;;;;;;;;;;;
JARDIM COTINHA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;PONTE RASA;LESTE 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;51;;;ZEIS-1 | ZC | ZM | ZEUP;1962;Rua Bandeira do Almado, Rua Leonel Ferreira, Rua Pedro Gois da Silva;-23.5101134617159;-46.481465371359;;;;;;;;;;;;;;
JARDIM D ABRIL I;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;RIO PEQUENO;OESTE;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;;;19;;;ZEIS-1 | ZEIS-2 | Praça-Canteiro | ZMa;1972;Rua Euzebio de Paula Marcondes;-23.5770094240735;-46.7775718287956;;;;;;;;;;;;;;
JARDIM D ABRIL II;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;RIO PEQUENO;OESTE;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;;;40;;;ZEIS-1;1973;Praca Tomas Coelho de Almeida;-23.5748950202274;-46.7787204876362;;;;;;;;;;;;;;
JARDIM DA FELICIDADE;;AMEACA DE REMOCAO;A favela, com 1182 familias, existe desde 1960 e encontra-se com ameacas de remocoes, pois faz parte do perimetro de intervencao do projeto Renova SP e consta no Habisp sem empreendimento previsto para reassentar as familias.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;1182;;;;;;-23.6548686;-46.730472099999986;;;;;;;;;;;;;;
JARDIM DA PAZ;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;PERUS;NORTE 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;;;60;;;ZEIS-1;2000;Av. da Mina;-23.4229170667169;-46.750942471015;;;;;;;;;;;;;;
JARDIM DAS ROSAS III;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;EMBU;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;58;;;ZEIS-1;1968;Avenida Apologos Orientais;-23.6574005641078;-46.7933082050156;;;;;;;;;;;;;;
JARDIM DE LOURDES;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;LAJEADO;LESTE 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PRIVADA;;200;;;ZEIS-1;2007;Rua Francisco Souto Maior, 8, Guaianases, Sao Paulo, SP, Brasil;-23.5240141;-46.3872634;;;;;;;;;;;;;;
JARDIM DULCE;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;48;;;ZEIS-1;1977;Rua Pedro da Costa Faleiro;-23.6829142832059;-46.7463767774124;;;;;;;;;;;;;;
JARDIM DUPRAT;;AMEACA DE REMOCAO;A favela, com 180 familias, existe desde 1960 e encontra-se com ameacas de remocoes, pois faz parte do perimetro de intervencao do projeto Renova SP e consta no Habisp sem empreendimento previsto para reassentar as familias.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;180;;;;;;-23.6605949;-46.75087529999996;;;;;;;;;;;;;;
JARDIM ELBA;;AMEACA DE REMOCAO;A favela, que existe desde 1960, conta com 1100 familias e esta cadastrada no Habisp. Faz parte do perimetro de intervencao do Projeto Renova SP e por isso encontra-se em situacao de ameca de remocao.;SAO PAULO;SAPOPEMBA;LESTE 1;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;1100;;;;;;-23.618288264052733;-46.51312673013308;;;;;;;;;;;;;;
JARDIM EVANA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;CAMPO LIMPO;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;;;27;;;ZEIS-1 | ZC | ZM;1965;Rua Guilherme Vokurka;-23.6439967914254;-46.7605455834801;;;;;;;;;;;;;;
JARDIM FARIA LIMA;;AMEACA DE REMOCAO;A favela, que existe desde 1970, conta com 75 familias e esta cadastrada no Habisp. Faz parte do perimetro de intervencao do Projeto Renova SP e por isso encontra-se em situacao de ameca de remocao.;SAO PAULO;CAMPO LIMPO;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;75;;;;;;-23.6331249;-46.76723390000001;;;;;;;;;;;;;;
JARDIM FIM DE SEMANA;;AMEACA DE REMOCAO;A favela, que existe desde 1960, conta com 2080 familias e esta cadastrada no Habisp. Faz parte do perimetro de intervencao do Projeto Renova SP e por isso encontra-se em situacao de ameca de remocao.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;2080;;;;;;-23.6565375;-46.74710600000003;;;;;;;;;;;;;;
JARDIM FIM DE SEMANA II;;AMEACA DE REMOCAO;A favela, que existe desde 1960, conta com 50 familias e esta cadastrada no Habisp. Faz parte do perimetro de intervencao do Projeto Renova SP e por isso encontra-se em situacao de ameca de remocao.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;50;;;;;;-23.653182;-46.749846;;;;;;;;;;;;;;
JARDIM FIM DE SEMANA III;;AMEACA DE REMOCAO;A favela, que existe desde 1960, conta com 80 familias e esta cadastrada no Habisp. Faz parte do perimetro de intervencao do Projeto Renova SP e por isso encontra-se em situacao de ameca de remocao.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;80;;;;;;-23.653744;-46.748583;;;;;;;;;;;;;;
JARDIM FRATERNIDADE II;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;JARDIM ANGELA;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;80;;;ZEIS-1 | ZEUPa;1970;Rua Gagliano Neto;-23.6822639123252;-46.7748324339079;;;;;;;;;;;;;;
JARDIM GERMANIA;;AMEACA DE REMOCAO;A favela, que existe desde 1960, conta com 160 familias e esta cadastrada no Habisp. Faz parte do perimetro de intervencao do Projeto Renova SP e por isso encontra-se em situacao de ameca de remocao.;SAO PAULO;CAPAO REDONDO;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;160;;;;;;-23.6551947;-46.75770449999999;;;;;;;;;;;;;;
JARDIM HELGA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;CAMPO LIMPO;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;;;10;;;ZEIS-1 | ZM;1968;Rua Luis Gonzaga Freire;-23.642200238655;-46.7736536518335;;;;;;;;;;;;;;
JARDIM IBIRAPUERA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;;;15;;;ZEIS-1 | ZM;1968;R PINHAL VELHO 14 / R MACEDONIA;-23.6598935486125;-46.730232655635;;;;;;;;;;;;;;
JARDIM IBIRAPUERA II;;AMEACA DE REMOCAO;Comunidade em ameaca por estar no perimetro do RenovaSP.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;1498;;;;;;-23.6621807;-46.7321407;;;;;;;;;;;;;;
JARDIM IMBE II;;AMEACA DE REMOCAO;A favela, que existe desde 1960 e conta, atualmente, com 316 familias, sofre ameaca de remocao por fazer parte do perimetro de intervencao do Projeto Renova SP. A favela consta no Habisp, porem sem empreendimento previsto para reassentamento das familias.;SAO PAULO;CAPAO REDONDO;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;316;;;;;;-23.6767112;-46.765766600000006;;;;;;;;;;;;;;
JARDIM IPANEMA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;JARAGUA;NORTE 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;398;;;ZEIS-1 | ZEIS-2 | ZMa;1978;Rua Pablo Podesta;-23.446447072805;-46.7514958758627;;;;;;;;;;;;;;
JARDIM IRENE II, III E IV;;AMEACA DE REMOCAO;Em urbanizacao - o projeto esta pronto;SANTO ANDRE;;ABC;Dados oficiais – Secretaria de Habitacao Santo Andre;NAO;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;;;1085;;;;;R. Caminho dos Vianas;-23.7145386;-46.51566190000001;;;;;;;;;;;;;;
JARDIM IRENE III;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;EMBU;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;61;;;ZEIS-1;1973;Travessa Musica do Dilema;-23.6665062018705;-46.7951382261198;;;;;;;;;;;;;;
JARDIM JANGADEIRO;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;JARDIM ANGELA;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;415;;;ZEIS-1 | ZEUPa;1977;Rua Abilio Cesar;-23.6863975782672;-46.7795055946904;;;;;;;;;;;;;;
JARDIM JAQUELINE;;AMEACA DE REMOCAO;Ameaca de remocao acompanhada pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo.;SAO PAULO;VILA SONIA;OESTE;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PRIVADA;CTEEP;41;;;ZEIS-1;2015;Rua Alessandro Bibina, Butanta, Sao Paulo, SP, Brasil;-23.5922237;-46.7521974;;;;;;;;;;;;;;
JARDIM JARAGUA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;VILA CURUCA;LESTE 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;86;;;ZEIS-1;1967;Rua Terra sem Males / Estrada Dom Joao Nery;-23.5049461140923;-46.4053485364809;;;;;;;;;;;;;;
JARDIM JUSSARA;;AMEACA DE REMOCAO;Em dezembro de 2017, as familias receberam a notificacao de 30 dias para sairem do local.;SAO BERNARDO DO CAMPO;;ABC;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;GOVERNO DO ESTADO;215;;Associacao de Moradores da Vila Lulaldo;;;R. Armando Petrela, 2-384;-23.761695;-46.537929;;;;;;;;;;;;;;
JARDIM LARANJEIRAS;;AMEACA DE REMOCAO;A favela, que existe desde 1960 e conta, atualmente, com 480 familias, sofre ameaca de remocao por fazer parte do perimetro de intervencao do Projeto Renova SP. A favela consta no Habisp, porem sem empreendimento previsto para reassentamento das familias.;SAO PAULO;IGUATEMI;LESTE 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;480;;;;;;-23.6044066127761;-46.43382426826173;;;;;;;;;;;;;;
JARDIM LETICIA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;199;;;ZEIS-1;1970;Rua Pedro Armani;-23.668407481617;-46.7445490862124;;;;;;;;;;;;;;
JARDIM LILIA;;AMEACA DE REMOCAO;A favela, que existe desde 1960 e conta, atualmente, com 100 familias, sofre ameaca de remocao por fazer parte do perimetro de intervencao do Projeto Renova SP. A favela consta no Habisp, porem sem empreendimento previsto para reassentamento das familias.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;100;;;;;;-23.6594489;-46.75144799999998;;;;;;;;;;;;;;
JARDIM LUSO;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;CIDADE ADEMAR;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;43;;;ZEIS-1;1969;Rua Pascoal Valva;-23.6909404311803;-46.6369859836032;;;;;;;;;;;;;;
JARDIM MACEDONIA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;EMBU;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;77;;;ZEIS-1 | ZM;1972;Rua Agostinho de Paiva;-23.6530023886395;-46.7921436088283;;;;;;;;;;;;;;
JARDIM MAGGI;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;PIRITUBA;NORTE 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;43;;;ZEIS-1 | ZMa;1973;Rua Carmem Cunha / Rua Wenceslau de Campos / Rua Dr. Paulo Roberto Leite;-23.4552381703566;-46.7154331023726;;;;;;;;;;;;;;
JARDIM MANACA DA SERRA II;;AMEACA DE REMOCAO;O Jardim Manaca da Serra e loteamento no extremo sul da cidade na Regiao de Parelheiros, depois do Jardim Herplin, que vem ha mais de 18 anos lutando por sua regularizacao fundiaria.;SAO PAULO;PARELHEIROS;SUL 2;Informacoes obtidas nas oficinas territoriais;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PUBLICA;GOVERNO DO ESTADO;300;;Associacao Uniao dos Moradores do Jardim Manaca da Serra da Serra e Adjacencias;;;Rua Maraba, 8 - Parelheiros, Sao Paulo - State of Sao Paulo, Brazil;-23.7967662;-46.708547299999900;;;;;;;;;;;;;;
JARDIM MANACAS;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;GRAJAU;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;18;;;ZEIS-1;1967;Rua Gregorio Viegas;-23.7453730777466;-46.7007802058383;;;;;;;;;;;;;;
JARDIM MARACANA;;AMEACA DE REMOCAO;Comunidade em conflito com o perimetro do RenovaSP.;SAO PAULO;JARDIM SAO LUIS;SUL 2;Dados oficiais – Habisp;SIM;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;285;;;;;;-23.6528321;-46.75167799999997;;;;;;;;;;;;;;
JARDIM MARIA EMILIA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;JARDIM ANGELA;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;68;;;ZEIS-1 | ZEUPa;1993;Rua Faenza;-23.6785964629225;-46.7754622082009;;;;;;;;;;;;;;
JARDIM MARIA SAMPAIO I;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;TABOAO DA SERRA;SUL 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;70;;;ZEIS-1 | ZM;1963;Rua Nazare Menezes;-23.6435707634296;-46.7887647047642;;;;;;;;;;;;;;
JARDIM MARISTELA;;AMEACA DE REMOCAO;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;SAO DOMINGOS;NORTE 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PUBLICA;PREFEITURA;13;;;ZEIS-1;1962;Rua Galdino Catunda Gondim;-23.486965861738;-46.7544983665437;;;;;;;;;;;;;;
